Package Name,Class Name,NOF,NOM,NOM+NOF,God Class
org.junit.runner.manipulation,Filterable,0,0,0,No
org.junit.runner.manipulation,InvalidOrderingException,1,3,4,No
org.junit.runner.manipulation,NoTestsRemainException,1,0,1,No
org.junit.runner.manipulation,Orderable,0,0,0,No
org.junit.runner.manipulation,Orderer,1,0,1,No
org.junit.runner.manipulation,Ordering,1,8,9,No
org.junit.runner.manipulation,package-info,0,0,0,No
org.junit.runner.manipulation,Sortable,0,0,0,No
org.junit.runner.manipulation,Sorter,1,7,8,No
org.junit.internal.management,FakeRuntimeMXBean,0,1,1,No
org.junit.internal.management,FakeThreadMXBean,0,2,2,No
org.junit.internal.management,ManagementFactory,0,5,5,No
org.junit.internal.management,ReflectiveRuntimeMXBean,2,1,3,No
org.junit.internal.management,ReflectiveThreadMXBean,4,2,6,No
org.junit.internal.management,RuntimeMXBean,0,0,0,No
org.junit.internal.management,ThreadMXBean,0,0,0,No
junit.tests.runner,AllTests,0,3,3,No
junit.tests.runner,BaseTestRunnerTest,1,8,9,No
junit.tests.runner,package-info,0,0,0,No
junit.tests.runner,ResultTest,3,7,10,No
junit.tests.runner,StackFilterTest,0,2,2,No
junit.tests.runner,TextFeedbackTest,0,20,20,No
junit.tests.runner,TextRunnerSingleMethodTest,1,2,3,No
junit.tests.runner,TextRunnerTest,0,2,2,No
org.junit.rules,DisableOnDebug,2,4,6,No
org.junit.rules,ErrorCollector,1,5,6,No
org.junit.rules,ExpectedException,3,13,16,No
org.junit.rules,ExpectedExceptionMatcherBuilder,0,6,6,No
org.junit.rules,ExternalResource,0,4,4,No
org.junit.rules,MethodRule,0,0,0,No
org.junit.rules,RuleChain,1,5,6,No
org.junit.rules,RunRules,1,1,2,No
org.junit.rules,Stopwatch,3,16,19,No
org.junit.rules,TestName,1,2,3,No
org.junit.rules,TestRule,0,0,0,No
org.junit.rules,TestWatcher,0,7,7,No
org.junit.rules,TestWatchman,0,5,5,No
org.junit.rules,Verifier,0,2,2,No
org.junit.rules,AllRulesTests,0,0,0,No
org.junit.rules,BlockJUnit4ClassRunnerOverrideTest,5,15,20,No
org.junit.rules,DisableOnDebugTest,1,15,16,No
org.junit.rules,ExternalResourceRuleTest,3,15,18,No
org.junit.rules,LoggingMethodRule,2,1,3,No
org.junit.rules,LoggingStatement,3,0,3,No
org.junit.rules,LoggingTestRule,2,1,3,No
org.junit.rules,LoggingTestWatcher,1,6,7,No
org.junit.rules,NameRulesTest,3,5,8,No
org.junit.rules,RuleChainTest,2,7,9,No
org.junit.rules,TemporaryFolderRuleAssuredDeletionTest,2,3,5,No
org.junit.rules,TemporaryFolderUsageTest,3,11,14,No
org.junit.rules,TestWatchmanTest,5,11,16,No
org.junit.rules,TimeoutRuleTest,7,7,14,No
org.junit.rules,VerifierRuleTest,1,4,5,No
org.junit.tests.running.classes,AllClassesTests,0,0,0,No
org.junit.tests.running.classes,BlockJUnit4ClassRunnerTest,1,5,6,No
org.junit.tests.running.classes,EnclosedTest,0,6,6,No
org.junit.tests.running.classes,IgnoreClassTest,0,3,3,No
org.junit.tests.running.classes,ParentRunnerFilteringTest,1,8,9,No
org.junit.tests.running.classes,RunWithTest,1,9,10,No
org.junit.tests.running.classes,SuiteTest,1,19,20,No
org.junit.tests.running.classes,ThreadsTest,2,10,12,No
org.junit.tests.running.classes,UseSuiteAsASuperclassTest,0,3,3,No
org.junit.tests.deprecated,AllDeprecatedTests,0,0,0,No
org.junit.tests.deprecated,JUnit4ClassRunnerTest,0,7,7,No
junit.tests.framework,AllTests,0,2,2,No
junit.tests.framework,AssertionFailedErrorTest,1,0,1,No
junit.tests.framework,AssertTest,1,19,20,No
junit.tests.framework,ComparisonCompactorTest,0,19,19,No
junit.tests.framework,ComparisonFailureTest,0,4,4,No
junit.tests.framework,DoublePrecisionAssertTest,0,7,7,No
junit.tests.framework,Failure,0,1,1,No
junit.tests.framework,FloatAssertTest,0,8,8,No
junit.tests.framework,InheritedTestCase,0,1,1,No
junit.tests.framework,NoArgTestCaseTest,0,1,1,No
junit.tests.framework,NoTestCaseClass,0,1,1,No
junit.tests.framework,NoTestCases,0,1,1,No
junit.tests.framework,NotPublicTestCase,0,2,2,No
junit.tests.framework,NotVoidTestCase,0,2,2,No
junit.tests.framework,OneTestCase,0,3,3,No
junit.tests.framework,OverrideTestCase,0,1,1,No
junit.tests.framework,package-info,0,0,0,No
junit.tests.framework,Success,0,2,2,No
junit.tests.framework,SuiteTest,1,14,15,No
junit.tests.framework,TestImplementorTest,2,8,10,No
junit.tests.framework,TestListenerTest,5,14,19,No
junit.tests.framework,ThreeTestCases,0,3,3,No
org.junit.validator,AnnotationsValidator,1,5,6,No
org.junit.validator,AnnotationValidator,1,3,4,No
org.junit.validator,AnnotationValidatorFactory,0,1,1,No
org.junit.validator,PublicClassValidator,1,1,2,No
org.junit.validator,TestClassValidator,0,0,0,No
org.junit.validator,ValidateWith,0,0,0,No
org.junit.validator,AllValidatorTests,0,0,0,No
org.junit.validator,AnnotationsValidatorTest,4,9,13,No
org.junit.validator,AnnotationValidatorFactoryTest,1,2,3,No
org.junit.validator,PublicClassValidatorTest,1,2,3,No
org.junit.internal.runners,ClassRoadie,4,4,8,No
org.junit.internal.runners,ErrorReportingRunner,3,8,11,No
org.junit.internal.runners,FailedBefore,1,0,1,No
org.junit.internal.runners,InitializationError,2,4,6,No
org.junit.internal.runners,JUnit4ClassRunner,2,16,18,No
org.junit.internal.runners,MethodRoadie,4,12,16,No
org.junit.internal.runners,MethodValidator,2,5,7,No
org.junit.internal.runners,package-info,0,0,0,No
org.junit.internal.runners,SuiteMethod,0,0,0,No
org.junit.internal.runners,TestClass,0,11,11,No
org.junit.internal.runners,TestMethod,2,8,10,No
org.junit.internal.runners,ErrorReportingRunnerTest,1,11,12,No
junit.framework,AssertionFailedError,1,3,4,No
junit.framework,ComparisonCompactor,8,8,16,No
junit.framework,ComparisonFailure,4,4,8,No
junit.framework,JUnit4TestAdapter,2,11,13,No
junit.framework,JUnit4TestAdapterCache,2,6,8,No
junit.framework,JUnit4TestCaseFacade,1,4,5,No
junit.framework,package-info,0,0,0,No
junit.framework,Protectable,0,0,0,No
junit.framework,Test,0,0,0,No
junit.framework,TestFailure,2,7,9,No
junit.framework,TestListener,0,0,0,No
org.junit.runners,AllTests,0,0,0,No
org.junit.runners,JUnit4,0,0,0,No
org.junit.runners,MethodSorters,1,2,3,No
org.junit.runners,package-info,0,0,0,No
org.junit.runners,Parameterized,8,6,14,No
org.junit.runners,RuleContainer,8,7,15,No
org.junit.runners,Suite,1,4,5,No
org.junit.runners,AllRunnersTests,0,0,0,No
org.junit.runners,CustomBlockJUnit4ClassRunnerTest,3,3,6,No
org.junit.runners,RuleContainerTest,1,6,7,No
org.junit.experimental,ParallelComputer,3,7,10,No
org.junit.tests.description,AllDescriptionTests,0,0,0,No
org.junit.tests.description,AnnotatedDescriptionTest,0,13,13,No
org.junit.tests.description,SuiteDescriptionTest,0,3,3,No
org.junit.tests.description,TestDescriptionMethodNameTest,1,2,3,No
org.junit.tests.description,TestDescriptionTest,0,3,3,No
org.junit.tests.validation.anotherpackage,Sub,0,0,0,No
org.junit.tests.validation.anotherpackage,Super,0,1,1,No
org.junit.internal.runners.rules,ValidationError,1,1,2,No
junit.tests,AllTests,0,2,2,No
junit.tests,package-info,0,0,0,No
junit.tests,SampleJUnit3Tests,0,6,6,No
junit.tests,WasRun,1,1,2,No
junit.samples.money,IMoney,0,0,0,No
junit.samples.money,Money,2,14,16,No
junit.samples.money,MoneyBag,1,17,18,No
junit.samples.money,package-info,0,0,0,No
org.junit.experimental.results,FailureList,1,2,3,No
org.junit.experimental.results,PrintableResult,1,7,8,No
org.junit.experimental.results,ResultMatchers,0,14,14,No
org.junit.samples,AllSamplesTests,0,0,0,No
org.junit.samples,ListTest,3,10,13,No
org.junit.samples,package-info,0,0,0,No
org.junit.samples,SimpleTest,3,4,7,No
org.junit.internal.runners.model,EachTestNotifier,2,9,11,No
org.junit.internal.runners.model,MultipleFailureException,1,1,2,No
org.junit.internal.runners.model,ReflectiveCallable,0,0,0,No
org.junit.internal.builders,AllDefaultPossibilitiesBuilder,1,7,8,No
org.junit.internal.builders,AnnotatedBuilder,2,2,4,No
org.junit.internal.builders,IgnoredBuilder,0,1,1,No
org.junit.internal.builders,IgnoredClassRunner,0,3,3,No
org.junit.internal.builders,JUnit3Builder,0,1,1,No
org.junit.internal.builders,JUnit4Builder,0,0,0,No
org.junit.internal.builders,NullBuilder,0,0,0,No
org.junit.internal.builders,SuiteMethodBuilder,0,1,1,No
org.junit.internal.builders,AnnotatedBuilderTest,1,6,7,No
junit.textui,package-info,0,0,0,No
junit.textui,ResultPrinter,0,17,17,No
junit.textui,TestRunner,4,16,20,No
org.junit.experimental.theories.internal,AllMembersSupplier,2,13,15,No
org.junit.experimental.theories.internal,Assignments,3,5,8,No
org.junit.experimental.theories.internal,BooleanSupplier,0,1,1,No
org.junit.experimental.theories.internal,EnumSupplier,0,2,2,No
org.junit.experimental.theories.internal,ParameterizedAssertionError,1,5,6,No
org.junit.experimental.theories.internal,SpecificDataPointsSupplier,0,5,5,No
org.junit.tests.experimental.theories,AllTheoriesTests,0,0,0,No
org.junit.tests.experimental.theories,AssumingInTheoriesTest,1,2,3,No
org.junit.tests.experimental.theories,ParameterSignatureTest,2,4,6,No
org.junit.tests.experimental.theories,PotentialAssignmentTest,0,4,4,No
org.junit.tests.experimental.theories,TestedOnSupplierTest,0,0,0,No
org.junit.tests.experimental.theories,TheoryTestUtils,0,1,1,No
org.junit.tests.assertion,AllAssertionTests,0,0,0,No
org.junit.tests.assertion,ComparisonFailureTest,1,3,4,No
org.junit.tests.assertion,MultipleFailureExceptionTest,2,2,4,No
org.junit.runners.parameterized,BlockJUnit4ClassRunnerWithParameters,2,12,14,No
org.junit.runners.parameterized,BlockJUnit4ClassRunnerWithParametersFactory,0,0,0,No
org.junit.runners.parameterized,ParametersRunnerFactory,0,0,0,No
org.junit.runners.parameterized,TestWithParameters,3,6,9,No
org.junit.runners.parameterized,AllParameterizedTests,0,0,0,No
org.junit.runners.parameterized,BlockJUnit4ClassRunnerWithParametersTest,3,2,5,No
org.junit.runners.parameterized,ParameterizedNamesTest,0,4,4,No
org.junit.runners.parameterized,TestWithParametersTest,2,12,14,No
org.junit.tests.experimental.results,AllResultsTests,0,0,0,No
org.junit.tests.experimental.results,PrintableResultTest,2,3,5,No
org.junit.tests.experimental.results,ResultMatchersTest,0,4,4,No
junit.extensions,ActiveTestSuite,1,10,11,No
junit.extensions,package-info,0,0,0,No
junit.extensions,RepeatedTest,1,4,5,No
junit.extensions,TestDecorator,1,6,7,No
junit.extensions,TestSetup,0,3,3,No
org.junit.internal.runners.statements,ExpectException,1,1,2,No
org.junit.internal.runners.statements,Fail,1,1,2,No
org.junit.internal.runners.statements,InvokeMethod,2,1,3,No
