Package Name,Class Name,NOF,NOM,NOM+NOF,God Class,,,,,,,,
net.sourceforge.jsxe,ViewPlugin,0,0,0,No,,,,,,,,
treeview.action,AddAttributeAction,0,2,2,No,,,,,,,,
treeview.action,AddDocTypeAction,4,11,15,No,,,,,,,,
treeview.action,AddNodeAction,4,4,8,No,,,,,,,,
treeview.action,CopyNodeAction,0,2,2,No,,,,,,,,
treeview.action,CutNodeAction,0,2,2,No,,,,,,,,
treeview.action,EditNodeAction,0,2,2,No,,,,,,,,
treeview.action,PasteNodeAction,0,2,2,No,,,,,,,,
treeview.action,RemoveAttributeAction,0,2,2,No,,,,,,,,
treeview.action,RemoveNodeAction,0,2,2,No,,,,,,,,
treeview.action,RenameNodeAction,0,2,2,No,,,,,,,,
sourceview.action,EditCopyAction,0,2,2,No,,,,,,,,
sourceview.action,EditCutAction,0,2,2,No,,,,,,TP =4,,
sourceview.action,EditFindAction,0,2,2,No,,,,,,FN = 25,,Accuracy = (Tp+Tn/tOTAL) = 80.92%
sourceview.action,EditPasteAction,0,2,2,No,,,,,,TN = 102,,Precision = (Tp/Tp+Fp) = 100%
net.sourceforge.jsxe.gui,DirtyFilesDialog,17,22,39,Yes,,,,,,Fp = 0,,Recall = (Tp/Tp+Fn) =13.79%
net.sourceforge.jsxe.gui,EnhancedMenu,3,22,25,Yes,,,,,,,,F1 scr =( 2*pre*recl)/pre+recl = 24.24%
net.sourceforge.jsxe.gui,PluginManagerDialog,8,21,29,Yes,,,,,,,,
net.sourceforge.jsxe.gui,TabbedView,15,21,36,Yes,,,,,,,,
net.sourceforge.jsxe.dom.completion,CompletionInfo,10,16,26,Yes,,,,,,,,
net.sourceforge.jsxe.dom.completion,ElementDecl,12,10,22,Yes,,,,,,,,
org.syntax.jedit,InputHandler,55,0,55,Yes,,,,,,,,
org.syntax.jedit,JEditTextArea,41,7,48,Yes,,,,,,,,
org.syntax.jedit,TextAreaDefaults,20,1,21,Yes,,,,,,,,
org.syntax.jedit,TextAreaPainter,0,35,35,Yes,,,,,,,,
net.sourceforge.jsxe.dom,AdapterNode,19,35,54,Yes,,,,,,,,
net.sourceforge.jsxe.dom,DOMSerializer,8,17,25,Yes,,,,,,,,
net.sourceforge.jsxe.dom,DOMSerializerConfiguration,26,7,33,Yes,,,,,,,,
net.sourceforge.jsxe.dom,XMLDocument,39,65,104,Yes,,,,,,,,
net.sourceforge.jsxe.util,Log,14,14,28,Yes,,,,,,,,
net.sourceforge.jsxe.util,MiscUtilities,1,22,23,Yes,,,,,,,,
treeview,DefaultView,17,38,55,Yes,,,,,,,,
treeview,DefaultViewTree,23,37,60,Yes,,,,,,,,
treeview,EditTagDialog,12,19,31,Yes,,,,,,,,
gnu.regexp,RE,15,41,56,Yes,,,,,,,,
gnu.regexp,RESyntax,48,8,56,Yes,,,,,,,,
gnu.regexp,RETokenPOSIX,16,5,21,Yes,,,,,,,,
sourceview,SourceView,12,23,35,Yes,,,,,,,,
sourceview,SourceViewOptionsPanel,15,21,36,Yes,,,,,,,,
org.syntax.jedit.tokenmarker,Token,20,2,22,Yes,,,,,,,,
net.sourceforge.jsxe,CatalogManager,14,10,24,Yes,,,,,,,,
net.sourceforge.jsxe,DocumentBuffer,14,18,32,Yes,,,,,,,,
net.sourceforge.jsxe,JARClassLoader,11,17,28,Yes,,,,,,,,
net.sourceforge.jsxe,jsXe,18,37,55,Yes,,,,,,,,
